booz,לחמנינה,ספוטניק,אוקינאווה סושי בר בע,סרבסה,סילון,קיוסק שופטים,עלי קרוואן,בית רומנו,סינג לונג,ויוה מקסיקו,אוגנדה תל אביב,לניס,הנסיך,לילי רוז,בר תרבות אורבנית בע,החומה הסינית 2002 בע,גון דו בעמ,GETT,OGGIES,בוגארט רד,רובינא בר,גופאה,צירס בפלורנטין,סנטה קתרינה,שם טוב,פיצה בוטיק,קפה לנדוור דיזנגוף ב,דה גורדון ביץ בעמ,ק.פון יס פלאנט איילו,ברמצווה,פיקוק בר בעמ,שמונה לא רק פסטה,בראון,זאפה- זאן כרטיסים,א.ב. מצדה קפה מרינה,אוסקר ויילד חולון,פורט סעיד,אילקה,אגנס בר,זי. מיוזיק בר (2015),"ג'ירף מסעדות בע""מ",שאפה,פועה צבע בפרח,הודנא,פימפינלה נחלת בנימין,מפגש הכרמל,ג'וני משקאות,פלאפל 4 טעמים גבעתיי,המזג,מנדרין מרכז הכרמל,התיאלנדית בסמטת סיני,"בר מנזר בע""מ","צינה מעשנת בע""מ",Beer Garden,אוצר,ג'רמיה,trillcom,פלורנטין 10 בר מסעדה,CONSIERGE,מזנון אבן גבירול,פיצוציית ליבי,AUERBACH RECORDS
Basic Living,דמי כרטיס הנחה,הום סלולר בעמ,אקספון 018 בעמ,תל-אופן ראשי,מנקה,שכ”ד,HOPON-DAN,מי אביבים חיוב תקופת,"עיריית תל אביב-יפו,א",תל-אופן ה. קבע,חברת חשמל מחוז  צפון,012 סמייל,רכבת ההגנה תל אביב,"הום סלולר בע""מ",MOBILE 012 פרטנר,חברת חשמל מחוז דן  מ,012 מקבוצת פרטנר,תל-אופן - אינטרנט,דן חברה לתחבורה ציבו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,דומינוס פיצה,פיס אוף קייק יפו,ויקטורי פלונרטין תל,סופר מרקט הברכה,מעדניית חיים רפאל,מגה בעיר אבן גבירול,סופר סיטי - סניף זב,המצלה,עלי קרוואן בעמ,איטליז כרמלית,שוק הברכה,טיב טעם רשתות בן גור,סופר יודה אג 76,טיב טעם  רשתות אבן ג,10 ביס,דבוש תל אביב,אי אם פי אם,פוד קורט,ויקטורי אחד העם,קיוסק הדקה ה 90,אי.אם.פי.אם בוגרשוב,כל בו חצי חינם הוד ה,אבולעפיה ה מ מאפים,אטליז אבו חליווה,אדון שיפון,מעדניית פאר,הקצבים,שופרסל אקספרס פלורנט,איי.אם.פי.אם,טיב טעם רשתות נחלת ב,דומינו'ס פיצה,חומוס אבו דאבי בעמ,"חיים רפאל בע""מ",על הפינה,מעדניית יום טוב,סופר קליק פלורנטין,פז YELLOW מנחם -,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Necessities (includes 300 savings),מגדל חיים/בריאות,"קופ""ח מאוחדת",טמבור פלורנטין,סופר פארם לונדון 39,סופר-פארם פלורנטין 1,ניופארם שרונים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special,ספורט ליברמן,מערכת בתי משפט,רשות הטבע והגנים-פלמ,רון פון שרונים,ב.א. גרף יעוץ וסחר ב,רוזן ומינץ-תא ראשי,משרד הפנים תשלומים,"פורט אין בע""מ",פילבו מחסני היבואן ב,CHECK BOX BUY2USA,קבוצת H 4 פוטו ניסים,PAYBOX,אייבורי מחשבים,טכניקה סגא 2002 בעמ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion,S WAER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unaccounted Cash,משיכת מזומנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
